Question,Subcategory
WHICH COMPOSER’S WORKS ARE KNOWN BY K-NUMBERS?,8
SB – Who composed Adagio for Strings?,8
WHO IS THE FAMOUS CLARINETIST WHO PERFORMS WITH THE NEW ORLEANS FUNERAL AND JAZZ BAND?,8
What book by William Strunk Jr. and E.B. White that is one of the most influential prescriptive treatments of English grammar in the US is often required reading in high schools?,8
Due to the large number of languages used in the European Union its anthem is purely instrumental. Despite this the German lyrics from what work of Friedrich Schiller connected to Beethoven are often sung when the anthem is played?,8
WHICH ANTIPODEAN OPERA SINGER SUNG AT PRINCE CHARLES WEDDING TO LADY DIANA SPENCER?,8
‘RULE BRITANNIA’ IS THE WORK OF WHICH COMPOSER?,8
What are the surnames of the Three Tenors?,8
What is the title of Beethoven’s only opera?,8
Traditionally believed to be a set of variations from ‘I know that my redeemer liveth’ from Handel’s Messiah what is the most common name for a melody used by a set of clock bells to strike the hour?,8
What event does Tchaikovsky’s 1812 Overture commemorate?,8
WHAT IS THE MUSICAL TERM FOR ?QUICK OR LIVELY??,8
Why didn’t Gustav Holst include Pluto in his 1918 orchestral suite The Planets?,8
WHICH OPERA DID VERDI COMPOSE FOR THE OPENING OF THE SUEZ CANAL?,8
IN WHAT CITY WAS HANDEL’S MESSIAH FIRST PERFORMED?,8
WHAT ARE THE TWO MOST COMMON UNBOWED STRINGED INSTRUMENTS FOUND IN A SYMPHONY ORCHESTRA?,8
WHAT THREE WORDS PRECEDED “LAND THAT I LOVE” IN A 1938 IRVING BERLIN TUNE?,8
What are the four operas Rhinegold Valkyries Siegfried and Twilight of the Gods all written by the German composer Richard Wagner collectively called?,8
WHO WROTE THE SYMPHONY OF A THOUSAND?,8
Who composed the opera Cosi Fan Tutte?,8
WHAT ‘WAM’ WAS THE MOST PROLIFIC OF ALL COMPOSERS OF CLASSICAL MUSIC?,8
Mstislav Rostropovich was a maestro on what instrument?,8
WHICH TEACHER OF MOZART AND BEETHOVEN WROTE MORE THAN 100 SYMPHONIES?,8
WHAT TRUMPETER BECAME THE OLDEST PERSON EVER TO SCORE A CHART-TOPPING SINGLE IN 1964?,8
What famous composer wrote ballet music for elephants in the Ringling Brothers Barnum and Bailey Circus?,8
What is the name of the coronation anthem composed by Handel using texts from the King James Bible that has been sung at every British coronation service since 1727?,8
What academy is sometimes dubbed “Canoe U.”?,8
WHAT ‘PD’ IS GIVEN TO THE PRINCIPAL FEMALE SINGER IN AN OPERA?,8
The Italian soprano Renata Tebaldi who is acclaimed as one of the most beloved opera singers of all time was known for her rivalry with which other legendary soprano?,8
WHAT WAS CLASSICAL COMPOSER MUSSORGSKY’S FIRST NAME?,8
Who developed the 12-tone system of composition?,8
Why was famed opera singe Enrico Caruso’s first film My Cousin a big flop and his second film The Splendid Romance never released?,8
Which set of 30 keyboard techniques were written by Johann Sebastian Bach to reportedly cure insomnia?,8
Mendelssohn’s Wedding March comes from which work?,8
Which composer was the musical director of the New York Philharmonic from 1958 to 1970?,8
WHICH MUSICAL INSTRUMENT IS VANESSA MAE FAMOUS FOR?,8
WHICH ‘JSB’ COMPOSED ‘JESU JOY OF MAN’S DESIRING’?,8
WHAT ‘E’ WAS A CLASSICAL ENGLISH COMPOSER?,8
WHAT ‘MS’ WAS NOT BEETHOVEN’S NAME FOR HIS OPUS NO. 27 NO. 2 FOR PIANO?,8
WHAT NAME CONNECTS THE THIRD SYMPHONY BY VAUGHN WILLIAMS TO BEETHOVEN’S SIXTH?,8
WHAT ‘M’ COMPOSED THE REFORMATION AND ITALIAN SYMPHONIES?,8
WHAT ‘PC’ ARE PERFORMED EVERY YEAR AT THE ROYAL ALBERT HALL?,8
What was the nationality of the composer Franz Schubert?,8
Which composer transcribed birdsong and incorporated it into much of his work?,8
Which musical instrument derived it name from the Italian words for soft and loud?,8
Which character in The Mikado was Lord High Everything Else?,8
WHICH MODERN COMPOSER’S WORKS INCLUDE THE OPERAS EINSTEIN ON THE BEACH AND AKHNATEN?,8
WHAT IS THE MOST PERFORMED OPERA IN THE UK?,8
RULE BRITANNIA’ IS THE WORK OF WHICH COMPOSER?,8
What song was the band playing while the Titanic sank?,8
Which American aviator was the first woman to fly the Atlantic solo in 1932?,13
IN THE 60S WHAT WAS THE FIRST NAME OF JOHN F. KENNEDY’S WIFE?,13
WHO WAS WILLIAM BONNEY BETTER KNOWN AS?,13
WHAT ‘TMI’ WAS THE SITE OF A MAJOR NUCLEAR ACCIDENT IN THE USA?,13
In what year…Did Alcatraz prison close?,13
In 1957 the State University at Fullerton was founded as was the university at which other California location?,13
WHICH ‘SA’ WAS NIXON’S VICE-PRESIDENT AND RESIGNED IN 1973 DURING THE WATERGATE AFFAIR?,13
What was the Boulder Dam renamed in 1947?,13
Who shot and killed Billy the Kid in 1881?,13
Which American nuclear submarine was the first to sail across the North Pole under the ice cap?,13
Who coined the word hello and introduced it as the proper way to answer a telephone call?,13
WHAT WERE THE SURNAMES OF BONNIE AND CLYDE?,13
What made its first flight on 17th July 1989?,13
What famous American hero – educated as a mechanical engineer – helped design a germ-proof “artificial heart” in the early 1930s?,13
What governor was the first woman to deliver the GOP resp0onse to a State of the Union speech?,13
WHAT ‘V’ IS WHERE THE CONFEDERATES SURRENDERED IN THE US CIVIL WAR?,13
Where was the Battle of Bunker Hill actually fought in June 1775?,13
Which airship exploded in New Jersey in 1937?,13
WHICH HIGH PROFILE POLITICIAN WAS CAUGHT ON VIDEO CRACK PIPE IN HAND BY THE FBI IN 1990?,13
WHAT ‘D’ IS THE SOUTHERN STATES OF THE USA?,13
WHAT ‘AL’ IS CELEBRATED ON 4TH JULY (1776) IN THE US?,13
Who was mayor of New York during the race riots of 1996?,13
By what nickname was the ornithologist/prisoner Robert Stroud better known as?,13
In 1968 why were the Oscar ceremonies postponed for two weeks?,13
Which statesman invented bifocals?,13
What was General George Patton’s nickname?,13
What was the name of the world’s first nuclear-powered submarine?,13
What was the USA’s biggest attack of the Vietnam War when it took place in February 1967?,13
Who drowned at Chappaquiddick in 1969?,13
WHAT ‘P’ WAS A USA ARMY GENERAL?,13
Who once observed: “This is America. You can’t make a horse testify against himself”?,13
